,A,B,C
0,0.6060139300016087,0.3908110704828902,0.25405900381314084
1,0.2943743156710711,0.7097668850126448,0.3036221605817847
2,0.6147277948826547,0.7278685509301861,0.6427505986770784
3,0.5958619607047777,-0.24955702085094802,0.51121831285433
4,-0.0029732061302449424,-0.16928764162770607,-0.09211305251829581
5,0.6322355233236927,0.634267606702463,0.6056998399542277
6,0.013950205963971292,0.14334318439467758,0.1461809072596399
7,0.5724926866330147,0.695465409486961,0.5128366894296483
8,0.6692575252595082,0.37995633394496897,0.5467101612730584
9,0.4620446632056122,0.6306135736456971,0.6763456341558017
10,0.650834536850358,0.6019485072079837,0.7262581964300043
11,0.656673457281461,0.3759108188767908,0.749535591221574
12,0.6456646304358999,0.8416279638914848,0.6648149507735263
13,0.5883400428535791,0.7509137473574425,0.3326912388441565
14,0.4907001231619872,0.4036584100062458,0.502925173428671
15,0.5925578490162837,0.8238438535152258,0.4299745044486713
16,0.06581583126194704,0.03965774439243592,-0.14862663512275903
17,0.15933514625675266,0.1939895574774813,0.011079423207239078
18,0.6205680145358894,0.8228835444856302,0.5191157849747964
