,A,B,C
1,0.6192722052441360,0.7932084250609070,0.6813655457026300
2,0.6645101397325400,0.5993344423908240,0.6644464943746220
3,0.6539627972100030,0.4769746600811360,0.5392306935525930
4,0.7036986071756080,0.6981967488447440,0.7441736706490080
5,0.6616136390974050,0.6613519255501690,0.6794081744820020
6,0.630864447673623,,
7,0.6052585501965910,0.3538920974158910,0.3249182166443290
8,0.6637333746798510,0.6526753331648380,0.5927630214422490
9,0.6552094273575140,0.7923164166549280,0.6897256505254850
10,0.6959399588804550,-0.06314120518436420,0.6410676578454760
11,0.6411647593465770,0.6357271561387340,0.5021970258955860
12,0.6425881572378400,0.5210252546323150,0.5814363093393650
13,0.6633289350632470,0.2991093071192460,0.5112089467693950
14,0.6178655555309780,0.7798118134657080,0.5787363775752290
15,0.6393437541733400,0.354707619008787,0.4925395078663630
16,0.6545655758999660,0.7551653170203900,0.723494292311475
17,0.6767313908779120,0.48885704850480800,0.7016225587515970
18,0.6481880387909600,0.3346497433821740,0.6819040593233210
19,0.631075661476784,0.8072778457055880,0.521031687220669
20,0.6480288465535440,0.703452458112659,0.6532227498081280
21,0.6714566356428340,0.7790771450572450,0.7282151964025980
22,0.5846475158090540,0.8347257041177220,0.34549923556986400
23,0.6267743912563630,0.5835618722662460,0.6204562107677290
24,0.621217068092327,0.5022338160360660,0.6588115428199000
25,0.6311218552946580,0.836558493203216,0.5840445083167200
